score,title,word,sentence
6,Sleeping Beauty,ladies,Some of the gentlemen were bowing to the ladies  the ladies were embroidering  the grooms stood currying their horses  and the cook was slapping the kitchen boy  ~newline~ There were guards motionless as stone  gentlemen and ladies  pages and footmen  some standing  some sitting  but all like statues  ~newline~ The gentlemen went on bowing to the ladies  ~newline~ The ladies went on with their embroidery 
6,Sleeping Beauty,palace,She wandered about the palace and at last came to a little room in the top of a tower  ~newline~ So the fairy touched with her magic wand all in the palace except the king and the queen  ~newline~ A beautiful palace rose before him  ~newline~ But he was not afraid and boldly entered the palace  ~newline~ In the meantime all in the palace awaked and each began to do what he was doing when he fell asleep  ~newline~ The next day the prince took his bride to his father s palace  and there they lived happily ever afterward 
6,Sleeping Beauty,queen,At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ The king and queen wept loudest of all  ~newline~ One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~ So the fairy touched with her magic wand all in the palace except the king and the queen  ~newline~ The king and queen departed from the castle  giving orders that no one was to go near it 
6,Sleeping Beauty,last,She did this because she wished to speak last and perhaps be able to change the old fairy s gift  ~newline~ But at last a little daughter was born  and their sorrow was turned to joy  ~newline~ She shall fall into sleep that will last a hundred years  ~newline~ She wandered about the palace and at last came to a little room in the top of a tower  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep 
6,Sleeping Beauty,one,The king at once ordered that a plate should be brought for her  but he could not furnish a gold one such as the others had  ~newline~ I cannot undo what my elder sister has done  the princess shall indeed prick her finger with the spindle  but she shall not die  ~newline~ This was done  but it was all in vain  ~newline~ One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~ The old woman called for help  and people came from all sides  but nothing could be done  ~newline~ She knew that the princess must sleep a hundred years and would be frightened if she found herself alone when she awoke  ~newline~ The king and queen departed from the castle  giving orders that no one was to go near it  ~newline~ The king had no other child  and when he died  his throne passed to another royal family  ~newline~ He asked what they were  but no one could answer him  ~newline~ To his astonishment  the stiff branches gave way  and then closed again  allowing none of his companions to follow  ~newline~ There were guards motionless as stone  gentlemen and ladies  pages and footmen  some standing  some sitting  but all like statues  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep 
5,Sleeping Beauty,castle,One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~ When the good young fairy heard the news  she came quickly to the castle  ~newline~ The king and queen departed from the castle  giving orders that no one was to go near it  ~newline~ Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm In a little while there sprang around the castle a wood so thick that neither man nor beast could pass through  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived 
5,Sleeping Beauty,could,The king at once ordered that a plate should be brought for her  but he could not furnish a gold one such as the others had  ~newline~ He invited all the fairies he could find in the kingdom there were seven of them to come to the christening as godmothers  ~newline~ The old woman called for help  and people came from all sides  but nothing could be done  ~newline~ Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm In a little while there sprang around the castle a wood so thick that neither man nor beast could pass through  ~newline~ He asked what they were  but no one could answer him 
4,Sleeping Beauty,horses,Ladies  gentlemen  pages  waiting maids  footmen  grooms in the stable  and even the horses she touched them all  ~newline~ Some of the gentlemen were bowing to the ladies  the ladies were embroidering  the grooms stood currying their horses  and the cook was slapping the kitchen boy  ~newline~ In the courtyard the prince saw horses and men who looked as if they were dead  ~newline~ The grooms went on currying their horses  the cook went on slapping the kitchen boy  and the servants began to serve the supper 
4,Sleeping Beauty,gentlemen,Ladies  gentlemen  pages  waiting maids  footmen  grooms in the stable  and even the horses she touched them all  ~newline~ Some of the gentlemen were bowing to the ladies  the ladies were embroidering  the grooms stood currying their horses  and the cook was slapping the kitchen boy  ~newline~ There were guards motionless as stone  gentlemen and ladies  pages and footmen  some standing  some sitting  but all like statues  ~newline~ The gentlemen went on bowing to the ladies 
4,Sleeping Beauty,hundred,She shall fall into sleep that will last a hundred years  ~newline~ She knew that the princess must sleep a hundred years and would be frightened if she found herself alone when she awoke  ~newline~ III A great many changes take place in a hundred years  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself 
4,Sleeping Beauty,sleep,She shall fall into sleep that will last a hundred years  ~newline~ She knew that the princess must sleep a hundred years and would be frightened if she found herself alone when she awoke  ~newline~ They all went to sleep just where they were when the wand touched them  ~newline~ Even the story of the sleeping princess was almost forgotten  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep  ~newline~ In the meantime all in the palace awaked and each began to do what he was doing when he fell asleep 
4,Sleeping Beauty,began,Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ He leaped from his horse and began to force his way through the wood  ~newline~ In the meantime all in the palace awaked and each began to do what he was doing when he fell asleep  ~newline~ The grooms went on currying their horses  the cook went on slapping the kitchen boy  and the servants began to serve the supper 
4,Sleeping Beauty,die,Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ Your daughter shall not die  ~newline~ I cannot undo what my elder sister has done  the princess shall indeed prick her finger with the spindle  but she shall not die  ~newline~ Ladies  gentlemen  pages  waiting maids  footmen  grooms in the stable  and even the horses she touched them all  ~newline~ Some of the gentlemen were bowing to the ladies  the ladies were embroidering  the grooms stood currying their horses  and the cook was slapping the kitchen boy  ~newline~ The king had no other child  and when he died  his throne passed to another royal family  ~newline~ There were guards motionless as stone  gentlemen and ladies  pages and footmen  some standing  some sitting  but all like statues  ~newline~ The gentlemen went on bowing to the ladies  ~newline~ The ladies went on with their embroidery  ~newline~ Then the chief lady in waiting  who was ready to die of hunger  told the princess aloud that supper was ready 
4,Sleeping Beauty,fairies,He invited all the fairies he could find in the kingdom there were seven of them to come to the christening as godmothers  ~newline~ Before each of the fairies was placed a plate with a spoon  a knife  and a fork all pure gold  ~newline~ As the fairies were about to seat themselves at the table  there came into the hall a very old fairy who had not been in    by The Brothers Grimm   Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm  She shall have a wonderful grace in all she does or says   The fourth said   She shall sing like a nightingale   The fifth said   She shall dance like a flower in the wind   The sixth said   She shall play such music as was never heard on earth   Then the old fairy s turn came  ~newline~ At the end of that time  a king s son will find her and awaken her   Immediately all the fairies vanished 
4,Sleeping Beauty,like,The king gave a christening feast so grand that the like of it had never been known  ~newline~ As the fairies were about to seat themselves at the table  there came into the hall a very old fairy who had not been in    by The Brothers Grimm   Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm  She shall have a wonderful grace in all she does or says   The fourth said   She shall sing like a nightingale   The fifth said   She shall dance like a flower in the wind   The sixth said   She shall play such music as was never heard on earth   Then the old fairy s turn came  ~newline~ There were guards motionless as stone  gentlemen and ladies  pages and footmen  some standing  some sitting  but all like statues 
4,Sleeping Beauty,woman,At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ There an old woman so old and deaf that she had never heard of the king s command sat spinning  ~newline~  What are you doing  good old woman   asked the princess  ~newline~ The old woman called for help  and people came from all sides  but nothing could be done 
4,Sleeping Beauty,child,This good godmother  fearing the old fairy might give the child an unlucky gift  hid herself behind a curtain  ~newline~ At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ II The king  hoping to save his child even from this misfortune  commanded that all spindles should be burned  ~newline~  I am spinning  my pretty child    Ah   said the princess  ~newline~ The king had no other child  and when he died  his throne passed to another royal family 
4,Sleeping Beauty,good,This good godmother  fearing the old fairy might give the child an unlucky gift  hid herself behind a curtain  ~newline~ He hoped that each would give the princess a good gift  ~newline~  What are you doing  good old woman   asked the princess  ~newline~ When the good young fairy heard the news  she came quickly to the castle 
4,Sleeping Beauty,young,A young fairy who sat near overheard her angry threats  ~newline~ At the end of the feast  the youngest fairy stepped forward and said   The princess shall be the most beautiful woman in the world   The second said   She shall have a temper as sweet as an angel   The third said  I Once upon a time there lived a king and queen who were very unhappy because they had no children  ~newline~ Just then the wise young fairy came from behind the curtain and said   Do not grieve  O King and Queen  ~newline~ When the good young fairy heard the news  she came quickly to the castle  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself 
4,Sleeping Beauty,day,She had left the kingdom fifty years before and had not been seen or heard of until this day  ~newline~ One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~ One day the son of the king who was then reigning was out hunting  and he saw towers rising above a thick wood  ~newline~ The next day the prince took his bride to his father s palace  and there they lived happily ever afterward 
4,Sleeping Beauty,heard,She had left the kingdom fifty years before and had not been seen or heard of until this day  ~newline~ A young fairy who sat near overheard her angry threats  ~newline~ As the fairies were about to seat themselves at the table  there came into the hall a very old fairy who had not been in    by The Brothers Grimm   Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm  She shall have a wonderful grace in all she does or says   The fourth said   She shall sing like a nightingale   The fifth said   She shall dance like a flower in the wind   The sixth said   She shall play such music as was never heard on earth   Then the old fairy s turn came  ~newline~ There an old woman so old and deaf that she had never heard of the king s command sat spinning  ~newline~ When the good young fairy heard the news  she came quickly to the castle 
4,Sleeping Beauty,sleeping,Even the story of the sleeping princess was almost forgotten 
3,Sleeping Beauty,supper,The grooms went on currying their horses  the cook went on slapping the kitchen boy  and the servants began to serve the supper  ~newline~ Then the chief lady in waiting  who was ready to die of hunger  told the princess aloud that supper was ready  ~newline~ The prince gave the princess his hand  and they all went into the great hall for supper 
3,Sleeping Beauty,looked,In the courtyard the prince saw horses and men who looked as if they were dead  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep  ~newline~ The princess looked at him with wondering eyes and said   Is it you  my prince 
3,Sleeping Beauty,ever,The king gave a christening feast so grand that the like of it had never been known  ~newline~ As the fairies were about to seat themselves at the table  there came into the hall a very old fairy who had not been in    by The Brothers Grimm   Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm  She shall have a wonderful grace in all she does or says   The fourth said   She shall sing like a nightingale   The fifth said   She shall dance like a flower in the wind   The sixth said   She shall play such music as was never heard on earth   Then the old fairy s turn came  ~newline~ There an old woman so old and deaf that she had never heard of the king s command sat spinning  ~newline~ This command  however  was not needed  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep  ~newline~ The next day the prince took his bride to his father s palace  and there they lived happily ever afterward 
3,Sleeping Beauty,saw,One day the son of the king who was then reigning was out hunting  and he saw towers rising above a thick wood  ~newline~ In the courtyard the prince saw horses and men who looked as if they were dead  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep 
3,Sleeping Beauty,wood,Created for Lit Go on the web at fcit usf edu       Sleeping Beauty By The Brothers Grimm In a little while there sprang around the castle a wood so thick that neither man nor beast could pass through  ~newline~ One day the son of the king who was then reigning was out hunting  and he saw towers rising above a thick wood  ~newline~ At last an old peasant was found who said   Your highness  fifty years ago my father told me that there is a castle in the woods where a princess sleeps the most beautiful princess that ever lived  ~newline~ He leaped from his horse and began to force his way through the wood 
3,Sleeping Beauty,grooms,Ladies  gentlemen  pages  waiting maids  footmen  grooms in the stable  and even the horses she touched them all  ~newline~ Some of the gentlemen were bowing to the ladies  the ladies were embroidering  the grooms stood currying their horses  and the cook was slapping the kitchen boy  ~newline~ The grooms went on currying their horses  the cook went on slapping the kitchen boy  and the servants began to serve the supper 
